payment_id,booking_id,payment_method,amount,amount_quality
PAY1000,B1116,NETBANKING,9883.49,VALID
PAY1001,B1738,NETBANKING,8457.96,VALID
PAY1002,B1873,UPI,6495.37,VALID
PAY1003,B1914,NETBANKING,5079.38,VALID
PAY1004,B1967,CARD,12518.31,VALID
PAY1005,B1998,CARD,7319.71,VALID
PAY1006,B1544,CARD,8020.26,VALID
PAY1007,B1043,UPI,8291.6,VALID
PAY1008,B1508,CARD,7277.14,VALID
PAY1009,B1987,CARD,4585.24,VALID
PAY1010,B1164,UPI,2684.77,VALID
PAY1011,B1367,CARD,2379.52,VALID
PAY1012,B1856,CARD,11604.48,VALID
PAY1013,B1291,NETBANKING,4129.39,VALID
PAY1014,B1848,UPI,1779.42,VALID
PAY1015,B1855,CARD,12165.24,VALID
PAY1016,B1916,CARD,3156.86,VALID
PAY1017,B1897,CARD,9752.05,VALID
PAY1018,B1798,CARD,,MISSING
PAY1019,B1875,NETBANKING,,INVALID
PAY1020,B1736,NETBANKING,6802.73,VALID
PAY1021,B1285,NETBANKING,1207.32,VALID
PAY1022,B1203,NETBANKING,12774.63,VALID
PAY1023,B1683,UPI,8188.97,VALID
PAY1024,B1523,CARD,,MISSING
PAY1025,B1818,NETBANKING,4317.72,VALID
PAY1026,B1120,CARD,,MISSING
PAY1027,B1944,UPI,3644.17,VALID
PAY1028,B1755,CARD,4760.39,VALID
PAY1029,B1663,CARD,8481.4,VALID
PAY1030,B1663,NETBANKING,12656.53,VALID
PAY1031,B1187,NETBANKING,6625.76,VALID
PAY1032,B1906,UPI,11037.65,VALID
PAY1033,B1012,CARD,,INVALID
PAY1034,B1602,NETBANKING,4028.21,VALID
PAY1035,B1199,NETBANKING,12300.69,VALID
PAY1036,B1585,NETBANKING,11603.63,VALID
PAY1037,B1767,UPI,5997.12,VALID
PAY1038,B1455,CARD,14853.28,VALID
PAY1039,B1447,NETBANKING,4676.01,VALID
PAY1040,B1787,CARD,4567.25,VALID
PAY1041,B1839,UPI,11811.63,VALID
PAY1042,B1840,CARD,7085.2,VALID
PAY1043,B1070,NETBANKING,5631.13,VALID
PAY1044,B1589,CARD,3501.28,VALID
PAY1045,B1795,CARD,11714.65,VALID
PAY1046,B1129,UPI,12008.51,VALID
PAY1047,B1888,UPI,8931.9,VALID
PAY1048,B1042,CARD,14402.39,VALID
PAY1049,B1519,CARD,5454.29,VALID
PAY1050,B1012,CARD,4074.67,VALID
PAY1051,B1724,UPI,10484.53,VALID
PAY1052,B1622,UPI,11617.72,VALID
PAY1053,B1987,CARD,4148.68,VALID
PAY1054,B1802,UPI,2072.55,VALID
PAY1055,B1534,NETBANKING,12347.23,VALID
PAY1056,B1301,UPI,14671.03,VALID
PAY1057,B1765,UPI,10025.41,VALID
PAY1058,B1526,UPI,4890.14,VALID
PAY1059,B1641,NETBANKING,14953.42,VALID
PAY1060,B1572,NETBANKING,,MISSING
PAY1061,B1114,NETBANKING,8187.33,VALID
PAY1062,B1459,CARD,12554.5,VALID
PAY1063,B1831,CARD,12421.49,VALID
PAY1064,B1504,NETBANKING,14087.19,VALID
PAY1065,B1307,CARD,12772.93,VALID
PAY1066,B1931,CARD,10011.51,VALID
PAY1067,B1962,CARD,9530.25,VALID
PAY1068,B1324,NETBANKING,7543.0,VALID
PAY1069,B1578,UPI,,MISSING
PAY1070,B1760,NETBANKING,12133.03,VALID
PAY1071,B1174,NETBANKING,,MISSING
PAY1072,B1850,CARD,7542.02,VALID
PAY1073,B1513,CARD,9031.14,VALID
PAY1074,B1171,UPI,7227.28,VALID
PAY1075,B1996,UPI,10358.84,VALID
PAY1076,B1959,UPI,9818.89,VALID
PAY1077,B1501,UPI,,INVALID
PAY1078,B1976,NETBANKING,8576.26,VALID
PAY1079,B1333,UPI,2238.82,VALID
PAY1080,B1283,NETBANKING,1369.37,VALID
PAY1081,B1474,CARD,12076.76,VALID
PAY1082,B1053,UPI,4621.1,VALID
PAY1083,B1457,CARD,5769.17,VALID
PAY1084,B1578,CARD,1897.18,VALID
PAY1085,B1419,NETBANKING,3513.0,VALID
PAY1086,B1613,UPI,11718.47,VALID
PAY1087,B1631,NETBANKING,7909.43,VALID
PAY1088,B1702,CARD,13329.36,VALID
PAY1089,B1408,UPI,6561.39,VALID
PAY1090,B1981,CARD,4761.81,VALID
PAY1091,B1303,CARD,5866.4,VALID
PAY1092,B1934,UPI,10978.81,VALID
PAY1093,B1558,UPI,8770.08,VALID
PAY1094,B1221,UPI,13658.68,VALID
PAY1095,B1532,NETBANKING,9430.36,VALID
PAY1096,B1157,NETBANKING,7902.25,VALID
PAY1097,B1347,CARD,12000.54,VALID
PAY1098,B1158,UPI,14265.47,VALID
PAY1099,B1888,CARD,5981.84,VALID
PAY1100,B1883,CARD,4498.27,VALID
PAY1101,B1921,CARD,9627.04,VALID
PAY1102,B1234,CARD,7984.22,VALID
PAY1103,B1661,CARD,14848.6,VALID
PAY1104,B1404,UPI,7473.06,VALID
PAY1105,B1256,NETBANKING,2040.64,VALID
PAY1106,B1676,UPI,14683.17,VALID
PAY1107,B1588,UPI,12810.22,VALID
PAY1108,B1596,UPI,3495.5,VALID
PAY1109,B1557,NETBANKING,13664.47,VALID
PAY1110,B1904,NETBANKING,5769.34,VALID
PAY1111,B1912,NETBANKING,6279.57,VALID
PAY1112,B1046,UPI,13689.48,VALID
PAY1113,B1212,NETBANKING,8421.62,VALID
PAY1114,B1478,CARD,2928.68,VALID
PAY1115,B1486,NETBANKING,6166.79,VALID
PAY1116,B1570,UPI,11109.36,VALID
PAY1117,B1565,UPI,3438.58,VALID
PAY1118,B1341,CARD,9263.24,VALID
PAY1119,B1523,NETBANKING,10733.84,VALID
PAY1120,B1703,NETBANKING,5813.95,VALID
PAY1121,B1502,CARD,10714.33,VALID
PAY1122,B1005,UPI,13378.9,VALID
PAY1123,B1820,UPI,7609.63,VALID
PAY1124,B1143,NETBANKING,6360.73,VALID
PAY1125,B1857,NETBANKING,4516.22,VALID
PAY1126,B1260,NETBANKING,9458.88,VALID
PAY1127,B1584,NETBANKING,13317.93,VALID
PAY1128,B1685,NETBANKING,5545.26,VALID
PAY1129,B1231,UPI,6547.3,VALID
PAY1130,B1269,UPI,6692.76,VALID
